x,y,theta
2.0934756424846972,0.27695583552286346,7.1922810870859557
2.1228402664305674,0.31740496764859671,7.2565166381297006
2.149688574278569,0.35957067253087194,7.3136185687822266
2.1742560869680085,0.40310896471984914,7.3627996392850346
2.1968369098022298,0.44771366179789712,7.4038315026888855
2.2177553015606275,0.493124676958277,7.4368413902629271
2.2373460997765156,0.53912622769429097,7.4621251323165465
2.2559436794974523,0.58553974149749133,7.4800140695139357
2.2738772702034362,0.63221477069009202,7.4907956060574357
2.2914702262706257,0.67901966947126247,7.4946795195176925
2.309040825380662,0.72583288953485281,7.4918124359160618
2.3269016750810274,0.77253560380528508,7.4823545753824323
2.345354082924815,0.81900683608087776,7.4666284741179885
2.3646740127782242,0.865122986024771,7.4453155139778175
2.3850890858755252,0.91076378214081488,7.4196215473536542
2.4067515693073056,0.95582520505429491,7.3913016173483221
2.4297173119694726,1.0002365626878749,7.3624778573492966
2.4539403270954283,1.043975550321492,7.3353005665881428
2.4792857153872712,1.0870749921993808,7.3116050722675396
2.5055546506104198,1.1296190606066665,7.2927150706887662
2.5325108938751746,1.1717320297441405,7.279441394966665
2.5599006505267172,1.2135649989970079,7.2722163076015676
2.5874629965411735,1.2552846612025346,7.2712640007064451
2.6149323428478572,1.2970653323782699,7.2767364222453645
2.6420359377485156,1.3390833940368927,7.2887919806846799
2.668489053155584,1.3815126360171359,7.3076250620735426
2.6939896951092241,1.4245191261329393,7.3334582133072264
2.7182144155159755,1.4682544602863148,7.3664972172002727
2.7408173789132979,1.5128463824146949,7.4068399569838981
2.7614357484752974,1.5583862893102338,7.4543406223016708
2.7797043189380339,1.6049147788700608,7.5084676074758887
2.7952795345507981,1.6524090653959438,7.5682350992229415
2.8078675981738082,1.7007778951836023,7.6322878376149621
2.8172466149214128,1.7498678830971144,7.6991447794698065
2.8232736000939522,1.7994797703030663,7.7674973637317857
2.8258750595653543,1.8493879652045881,7.8364013593314619
2.8250296407924851,1.8993564684548965,7.9052484893119717
2.8207561324430599,1.9491491389075624,7.9735160999727377
2.8131172024886331,1.9985383000105812,8.0404002541340791
2.8022405285196696,2.0473186307277285,8.1045042394228695
2.7883481621633059,2.095330674419746,8.1637578456599975
2.7717778222043119,2.1424905654984672,8.2156481936183567
2.7529825428218135,2.1888146573772982,8.2576707894186328
2.7325073924967076,2.234426781894812,8.2877867196235933
2.7109538651172391,2.279543383404802,8.3047163791270595
2.688944059410161,2.3244408138176751,8.3080636127735108
2.6670886510414409,2.3694127902375612,8.2983766744419416
2.6459540840679296,2.4147253835462434,8.2772112276398087
2.6260235053613687,2.4605771371575846,8.2471235803174974
2.6076541209174051,2.5070739759865783,8.2114449454619862
2.5910442995978742,2.5542272412070206,8.1737826852841646
2.5762260083012349,2.6019746110615096,8.1374027008635466
2.5630873098213032,2.6502129726956598,8.1047624823177777
2.5514144709643571,2.6988289061954589,8.0773616187042521
2.5409369375254252,2.7477182015502395,8.0558651659534828
2.5313637953734283,2.796793959762939,8.0403337927911771
2.5224093252122626,2.8459872208269466,8.0304273177981447
2.5138101200394121,2.8952442538333178,8.0255491831396171
2.5053359213777999,2.944523064556277,8.0249644080784144
2.4967943226733169,2.9937901676224992,8.027920133212497
2.4880290047671689,3.0430177950193049,8.0337600769349589
2.4789126346893222,3.0921814108199608,8.0420013647164641
2.4693372312117421,3.1412574445884833,8.0523544192164334
2.4592050045824503,3.1902212672136301,8.0646964816151474
2.4484213709034885,3.239045428650174,8.0790273438575895
2.4368902744471903,3.2876980774430491,8.0954301624097553
2.4245112359944501,3.3361414281540167,8.1140423114861324
2.4111777652539406,3.3843302170417373,8.1350289043248551
2.3967772709421942,3.43221024199336,8.1585516138140708
2.3811927973758138,3.4797172249340789,8.1847313508882724
2.3643067951919736,3.526776338336862,8.2136060661226402
2.346007017164359,3.5733028655551089,8.2450835280031516
2.3261945815307352,3.6192046332434966,8.2788916237923758
2.3047938181018273,3.6643868492017257,8.314541539512744
2.2817623099199151,3.7087594095231928,8.3513332752419664
2.2570981108136321,3.7522454924943278,8.3884281832522145
2.2308409133298008,3.79478898605571,8.4249809993823845
2.2030658776540935,3.8363581415779859,8.4602850612590004
2.1738719105665623,3.8769442780256358,8.4938738815893515
2.1433681727759941,3.9165564240465356,8.525550855751435
2.1116622562728247,3.9552139712102918,8.555359943296228
2.0788516578496101,3.992939213815955,8.5835290788015204
2.0450186113427802,4.0297508591974216,8.6104080941550034
2.0102278607591755,4.0656591249750473,8.6364055298092488
1.9745270854961219,4.1006629584997754,8.6619246620217805
1.9379496150087769,4.1347496899354743,8.6873075317806503
1.9005186136004031,4.1678968174334345,8.7128012289928858
1.8622515424543407,4.2000749797543797,8.7385537054492204
1.8231638480115668,4.2312509962253566,8.7646327932900547
1.7832714027886885,4.2613902276081799,8.7910538548255825
1.7425918095929358,4.2904580821688043,8.8178034296387438
1.701144961010443,4.3184208801592936,8.8448533970191807
1.6589532433955034,4.3452464146327712,8.8721643759824609
1.6160417248742271,4.3709046432342911,8.8996726103719848
1.5724388353715473,4.395369470057199,8.9272395533558253
1.5281785723759604,4.4186240465378956,8.9545241402601299
1.4833058960460686,4.4406744285817714,8.9807385097428405
1.4378868374168203,4.4615780540166057,9.0043069736297738
1.3920230523526707,4.4814904183954161,9.0225750692763693
1.3458679784259502,4.5007221691024339,9.0318324089618525
1.2996413973437089,4.519782831452468,9.0278790260795834
1.2536417414128884,4.5393781138658262,9.0071352443237966
1.208254413100035,4.5603356343309738,8.968004771836803
1.1639432028438685,4.5834592295631005,8.9119769380853029
1.1212011806731355,4.6093502524807857,8.8438291408685643
1.0804541451565834,4.6382719156762944,8.7704979731521977
1.0419563487447498,4.6701294476645652,8.6989822749967072
1.0057419643923471,4.7045695931125824,8.6344487312205196
0.97165549721011113,4.7411270569036983,8.5795301754218549
0.93942579288656503,4.779339829280282,8.5348064054049164
0.90873443540992405,4.8188048481304993,8.4997623582182644
0.87925517420055455,4.859187458479326,8.4735818349991696
0.85066819340087718,4.900209285043351,8.4555343953898188
0.82266342193556796,4.9416323972951215,8.4450212746405882
0.7949441356902277,4.9832478471014197,8.4414624916462877
0.76723453005357745,5.0248697980782318,8.4441900033571482
0.73928882543015939,5.0663331491835804,8.452434480105417
0.71089727592721708,5.1074917436541938,8.465408809175166
0.6818859700982256,5.1482149532688375,8.4824334498773037
0.65211065358740994,5.1883819130140711,8.5030353674540944
0.62144754212558406,5.2278741655370258,8.5269803755232161
0.58978471477699579,5.2665681913354421,8.5542422929048971
0.55701641880201769,5.3043290357684247,8.5849401655009494
0.52304086509251968,5.341005492705535,8.619274621387202
0.48776101772214348,5.3764267490706104,8.6574770977046978
0.45108770949956595,5.4104003515327861,8.6997684292331421
0.41294472920253611,5.442711750612319,8.7463142079329064
0.37327585196835544,5.4731263321250854,8.7971628693310304
0.33205377942160369,5.5013955718307352,8.8521591292293138
0.28929028470327184,5.5272692680208548,8.9108448626429286
0.24504536022280893,5.5505147672710242,8.9723899676814955
0.19943153066559854,5.5709409536296528,9.0356154842373186
0.15260948815471712,5.5884205198448456,9.0991477558920906
0.10477418904701488,5.60290197281447,9.1616716369660978
0.056135216848516467,5.614405908594204,9.2221830794253012
0.0068979859492607556,5.6230070145697422,9.2801414008456931
-0.042748894027908831,5.6288087410498235,9.3354926983013602
